metric_key,label,description,unit,higher_is_better,side,agg,leagues,primary_source,is_derived,min_valid,max_valid,min_sample_n,group
fourth_down_pct_off,4th Down % (Off),Fourth-down conversion rate.,pct,True,OFF,ratio:fourth_down_conv/fourth_down_att,"CFB,NFL",derived,True,0.0,1.0,3,SITUATIONAL
off_rz_td_rate,Red Zone TD % (Off),Touchdowns per red-zone trip.,pct,True,OFF,wmean:off_rz_trips,"CFB,NFL",derived,True,0.0,1.0,3,SITUATIONAL
def_rz_td_rate_allowed,Red Zone TD % (Def),Touchdowns allowed per opponent red-zone trip.,pct,False,DEF,wmean:def_plays,"CFB,NFL",derived,True,0.0,1.0,3,SITUATIONAL
turnover_margin,Turnover Margin,"Takeaways minus giveaways, per game.",count,True,OFF,mean,"CFB,NFL",derived,True,-6.0,6.0,1,TURNOVERS
giveaways_per_game,Giveaways/Game,Turnovers committed per game.,count,False,OFF,mean,"CFB,NFL",derived,True,0.0,8.0,1,TURNOVERS
takeaways_per_game,Takeaways/Game,Turnovers forced per game.,count,True,DEF,mean,"CFB,NFL",derived,True,0.0,8.0,1,TURNOVERS
int_rate,INT Rate,Interceptions thrown per pass attempt.,pct,False,OFF,ratio:pass_int/pass_att,"CFB,NFL",derived,True,0.0,0.2,1,TURNOVERS
fumble_rate,Fumble Rate,Fumbles lost per offensive play.,pct,False,OFF,ratio:fumbles_lost/plays,"CFB,NFL",derived,True,0.0,0.1,1,TURNOVERS
off_ppa_play,Offensive EPA/Play,Expected points added per play (CFB: CFBD PPA; NFL: nflfastR EPA).,points,True,OFF,wmean:off_plays,"CFB,NFL",cfbd|nflverse,False,-1.5,1.5,1,EPA
off_ppa_pass,Offensive Passing EPA/Play,EPA per pass play.,points,True,OFF,wmean:off_plays,"CFB,NFL",cfbd|nflverse,False,-2.0,2.0,1,EPA
off_ppa_rush,Offensive Rushing EPA/Play,Expected points added per rushing play.,points,True,OFF,wmean:off_plays,"CFB,NFL",cfbd|nflverse,False,-2.0,2.0,1,EPA
off_ppa_early,Offensive Early-Down EPA,EPA per play on 1st and 2nd down.,points,True,OFF,wmean:off_plays,"CFB,NFL",derived,True,-2.0,2.0,1,EPA
off_ppa_late,Offensive Late-Down EPA,EPA per play on 3rd and 4th down.,points,True,OFF,wmean:off_plays,"CFB,NFL",derived,True,-3.0,3.0,1,EPA
off_success_rate,Offensive Success Rate,Share of plays meeting the success yardage threshold (NFL: EPA>0).,pct,True,OFF,wmean:off_plays,"CFB,NFL",cfbd|nflverse,False,0.0,1.0,1,SUCCESS
off_success_pass,Offensive Passing Success,Success rate on pass plays.,pct,True,OFF,wmean:off_plays,"CFB,NFL",cfbd|nflverse,False,0.0,1.0,1,SUCCESS
off_success_rush,Offensive Rushing Success,Success rate on rushes.,pct,True,OFF,wmean:off_plays,"CFB,NFL",cfbd|nflverse,False,0.0,1.0,1,SUCCESS
off_success_std_downs,Offensive Standard-Down Success,Success rate on standard downs.,pct,True,OFF,wmean:off_plays,"CFB,NFL",cfbd|derived,False,0.0,1.0,1,SUCCESS
off_success_pass_downs,Offensive Passing-Down Success,Success rate on passing downs.,pct,True,OFF,wmean:off_plays,"CFB,NFL",cfbd|derived,False,0.0,1.0,1,SUCCESS
off_explosiveness,Offensive Explosiveness,Average EPA on successful plays (IsoPPP-style).,points,True,OFF,wmean:off_plays,"CFB,NFL",cfbd|derived,False,0.0,4.0,1,EXPLOSIVE
def_ppa_play,Defensive EPA/Play,Expected points added per play allowed (CFB: CFBD PPA; NFL: nflfastR EPA).,points,False,DEF,wmean:def_plays,"CFB,NFL",cfbd|nflverse,False,-1.5,1.5,1,EPA
def_ppa_pass,Defensive Passing EPA/Play,EPA per pass play allowed.,points,False,DEF,wmean:def_plays,"CFB,NFL",cfbd|nflverse,False,-2.0,2.0,1,EPA
def_ppa_rush,Defensive Rushing EPA/Play,Expected points added per rushing play allowed.,points,False,DEF,wmean:def_plays,"CFB,NFL",cfbd|nflverse,False,-2.0,2.0,1,EPA
def_ppa_early,Defensive Early-Down EPA,EPA per play on 1st and 2nd down allowed.,points,False,DEF,wmean:def_plays,"CFB,NFL",derived,True,-2.0,2.0,1,EPA
def_ppa_late,Defensive Late-Down EPA,EPA per play on 3rd and 4th down allowed.,points,False,DEF,wmean:def_plays,"CFB,NFL",derived,True,-3.0,3.0,1,EPA
def_success_rate,Defensive Success Rate,Share of plays allowed meeting the success yardage threshold (NFL: EPA>0).,pct,False,DEF,wmean:def_plays,"CFB,NFL",cfbd|nflverse,False,0.0,1.0,1,SUCCESS
def_success_pass,Defensive Passing Success,Success rate on pass plays allowed.,pct,False,DEF,wmean:def_plays,"CFB,NFL",cfbd|nflverse,False,0.0,1.0,1,SUCCESS
def_success_rush,Defensive Rushing Success,Success rate on rushes allowed.,pct,False,DEF,wmean:def_plays,"CFB,NFL",cfbd|nflverse,False,0.0,1.0,1,SUCCESS
def_success_std_downs,Defensive Standard-Down Success,Success rate on standard downs allowed.,pct,False,DEF,wmean:def_plays,"CFB,NFL",cfbd|derived,False,0.0,1.0,1,SUCCESS
def_success_pass_downs,Defensive Passing-Down Success,Success rate on passing downs allowed.,pct,False,DEF,wmean:def_plays,"CFB,NFL",cfbd|derived,False,0.0,1.0,1,SUCCESS
def_explosiveness,Defensive Explosiveness,Average EPA on successful plays allowed (IsoPPP-style).,points,False,DEF,wmean:def_plays,"CFB,NFL",cfbd|derived,False,0.0,4.0,1,EXPLOSIVE
off_explosive_play_rate,Explosive Play Rate,Share of plays gaining 10+ rushing or 20+ passing yards.,pct,True,OFF,wmean:off_plays,"CFB,NFL",derived,True,0.0,0.5,1,EXPLOSIVE
def_explosive_play_rate_allowed,Explosive Plays Allowed,Share of opponent plays gaining 10+ rushing or 20+ passing yards.,pct,False,DEF,wmean:def_plays,"CFB,NFL",derived,True,0.0,0.5,1,EXPLOSIVE
off_rush_10plus_rate,10+ Yard Rush Rate,Share of rushes gaining 10+ yards.,pct,True,OFF,wmean:off_plays,"CFB,NFL",derived,True,0.0,0.6,1,EXPLOSIVE
off_pass_20plus_rate,20+ Yard Pass Rate,Share of dropbacks producing a 20+ yard completion.,pct,True,OFF,wmean:off_plays,"CFB,NFL",derived,True,0.0,0.6,1,EXPLOSIVE
off_pts_per_scoring_opp,Points/Scoring Opportunity,Points per drive that reached the opponent 40.,points,True,OFF,wmean:off_scoring_opps,"CFB,NFL",derived,True,0.0,7.0,3,FINISHING
def_pts_per_scoring_opp_allowed,Points Allowed/Scoring Opp,Points allowed per opponent drive reaching your 40.,points,False,DEF,wmean:def_plays,"CFB,NFL",derived,True,0.0,7.0,3,FINISHING
off_td_rate_opp_territory,TD Rate in Opp Territory,Touchdowns per drive that reached the opponent 40.,pct,True,OFF,wmean:off_scoring_opps,"CFB,NFL",derived,True,0.0,1.0,3,FINISHING
off_avg_start_yardline,Avg Starting Field Position,Average own-yardline where offensive drives start.,yardline,True,OFF,mean,"CFB,NFL",derived,True,10.0,60.0,1,FIELD_POSITION
def_avg_start_yardline_allowed,Opp Avg Starting Field Position,Average own-yardline where opponent drives start.,yardline,False,DEF,mean,"CFB,NFL",derived,True,10.0,60.0,1,FIELD_POSITION
plays_per_game,Plays/Game,Offensive scrimmage plays per game.,count,True,OFF,mean,"CFB,NFL",derived,True,30.0,120.0,1,PACE
off_sec_per_play,Seconds/Play,Average seconds between offensive snaps within a drive.,seconds,False,OFF,wmean:off_plays,"CFB,NFL",derived,True,10.0,60.0,1,PACE
off_neutral_sec_per_play,Neutral-Script Seconds/Play,Seconds per play when the score is within 8 in the first three quarters.,seconds,False,OFF,wmean:off_plays,"CFB,NFL",derived,True,10.0,60.0,1,PACE
off_pass_rate,Pass Rate,Dropbacks per scrimmage play.,pct,True,OFF,wmean:off_plays,"CFB,NFL",derived,True,0.0,1.0,1,STYLE
off_early_down_pass_rate,Early-Down Pass Rate,Dropbacks per play on 1st and 2nd down.,pct,True,OFF,wmean:off_plays,"CFB,NFL",derived,True,0.0,1.0,1,STYLE
off_neutral_pass_rate,Neutral-Script Pass Rate,Dropbacks per play when the game is within 8 points in the first three quarters.,pct,True,OFF,wmean:off_plays,"CFB,NFL",derived,True,0.0,1.0,1,STYLE
off_play_action_rate,Play-Action Rate,Play-action dropbacks per dropback (FTN).,pct,True,OFF,wmean:off_plays,NFL,nflverse|ftn,False,0.0,1.0,1,STYLE
off_rpo_rate,RPO Rate,RPO plays per scrimmage play (FTN).,pct,True,OFF,wmean:off_plays,NFL,nflverse|ftn,False,0.0,1.0,1,STYLE
off_shotgun_rate,Shotgun Rate,Snaps from shotgun per scrimmage play.,pct,True,OFF,wmean:off_plays,NFL,nflverse|ftn,False,0.0,1.0,1,STYLE
off_avg_air_yards,Avg Air Yards,Average depth of target on pass attempts.,yards,True,OFF,wmean:off_plays,NFL,nflverse|ftn,False,0.0,20.0,1,STYLE
off_deep_pass_rate,Deep Pass Rate,Share of attempts thrown 20+ yards downfield.,pct,True,OFF,wmean:off_plays,NFL,nflverse|ftn,False,0.0,1.0,1,STYLE
def_blitz_rate,Blitz Rate,Share of opponent dropbacks with 5+ pass rushers (FTN).,pct,True,DEF,wmean:def_plays,NFL,ftn,False,0.0,1.0,1,STYLE
def_pressure_no_blitz_rate,Pressure Without Blitz,QB hits or sacks per opponent dropback with 4 or fewer rushers (proxy).,pct,True,DEF,wmean:def_plays,NFL,derived,True,0.0,1.0,1,STYLE
